timestamp,x,y
1778752213.027755,3378,-927
1778752213.232963,3378,-927
1778752213.385618,7682,-3780
1778752213.403655,3727,-5454
1778752213.418345,3512,424
1778752213.436765,5005,1517
1778752213.452893,5446,969
1778752213.470137,5650,160
1778752213.486014,4593,287
1778752213.503665,4026,453
1778752213.521313,4258,655
1778752213.535903,4282,765
1778752213.559477,4010,517
1778752213.574347,4162,547
1778752213.589804,4459,811
1778752213.609866,4464,1205
1778752213.624499,4684,1291
1778752213.644836,4381,829
1778752213.659642,4428,81
1778752213.677056,4796,453
1778752213.692535,4640,194
1778752213.711269,4848,524
1778752213.726358,5381,506
1778752213.742867,5778,838
1778752213.757502,5734,990
1778752213.775931,5746,1273
1778752213.790734,5911,1319
1778752213.810603,5908,1382
1778752213.825248,5465,1312
1778752213.845274,5591,1291
1778752213.859798,5899,1316
1778752213.878804,5454,1452
1778752213.893634,5314,1617
1778752213.910103,5240,1475
1778752213.92508,5365,1249
1778752213.94204,5337,1234
1778752213.956346,5234,1094
1778752213.974277,5571,1566
1778752213.990261,5522,1275
1778752214.00609,5580,1075
1778752214.022591,5368,1087
1778752214.040105,5031,740
1778752214.055634,4874,537
1778752214.07447,4502,1069
1778752214.091957,4136,996
1778752214.109773,3500,767
1778752214.124285,2976,963
1778752214.145126,2100,945
1778752214.159212,2301,1340
1778752214.178451,1920,805
1778752214.1926,2172,344
1778752214.209338,1544,705
1778752214.228624,1527,797
1778752214.243526,925,1082
1778752214.263256,1283,1065
1778752214.277523,1033,968
1778752214.295773,1416,1152
1778752214.311918,1901,1240
1778752214.328292,1387,1096
1778752214.344994,1460,1199
1778752214.36201,1673,1289
1778752214.378544,1694,1185
1778752214.39484,2068,1460
1778752214.412766,2341,1317
1778752214.426712,2426,1308
1778752214.444132,2554,1172
1778752214.460016,2717,1033
1778752214.479474,2591,932
1778752214.494008,2465,871
1778752214.51332,2317,812
1778752214.528504,2287,803
1778752214.546818,2318,751
1778752214.561959,2325,719
1778752214.5797,2357,677
1778752214.596101,2486,634
1778752214.613202,2531,440
1778752214.630581,2252,597
1778752214.646374,2363,449
1778752214.66589,2200,426
1778752214.68343,2278,437
