timestamp,x,y
1779961556.695332,764,-260
1779961556.713257,764,-260
1779961556.727359,754,-157
1779961556.743354,780,310
1779961556.762684,735,347
1779961556.775548,777,431
1779961556.795357,927,396
1779961556.811791,947,447
1779961556.827665,747,373
1779961556.84437,778,357
1779961556.860605,722,378
1779961556.879003,765,398
1779961556.894145,891,378
1779961556.908578,955,401
1779961556.925858,912,417
1779961556.94268,923,445
1779961556.958714,925,441
1779961556.975219,934,433
1779961556.993226,904,406
1779961557.010491,875,403
1779961557.026991,905,420
1779961557.042493,852,428
1779961557.057968,854,441
1779961557.076253,746,404
1779961557.089509,739,384
1779961557.107488,699,386
1779961557.12212,715,324
1779961557.143802,689,324
1779961557.161222,652,319
1779961557.175514,614,304
1779961557.192515,584,301
1779961557.210147,572,305
1779961557.230523,491,271
1779961557.247028,458,263
1779961557.262526,454,253
1779961557.280526,459,252
1779961557.297104,486,258
1779961557.313174,454,227
1779961557.330765,513,239
1779961557.347834,528,239
1779961557.365177,504,241
1779961557.38319,518,256
1779961557.399304,534,259
1779961557.415293,531,255
1779961557.432343,541,262
1779961557.447753,542,253
1779961557.463095,559,261
1779961557.481349,569,267
1779961557.496519,592,268
1779961557.516142,614,273
1779961557.53085,611,269
1779961557.54806,599,278
1779961557.564086,645,279
1779961557.580877,634,282
1779961557.59618,632,282
1779961557.61205,638,283
1779961557.628872,622,279
1779961557.643296,629,279
1779961557.660591,647,291
1779961557.675931,623,283
1779961557.69334,631,274
1779961557.708613,656,271
1779961557.725279,626,272
1779961557.741901,628,276
1779961557.759267,641,289
1779961557.775864,637,300
1779961557.791554,659,289
1779961557.808635,631,293
1779961557.823714,622,300
1779961557.840551,616,282
1779961557.856553,641,285
1779961557.87309,609,283
1779961557.889072,627,281
1779961557.904385,600,287
1779961557.922199,595,297
1779961557.938833,603,285
1779961557.953676,615,268
1779961557.972907,660,247
1779961557.986666,683,229
1779961558.006361,693,243
1779961558.021284,686,250
1779961558.03749,693,255
1779961558.053165,666,250
1779961558.067832,669,250
1779961558.087907,667,254
1779961558.102095,659,248
1779961558.117771,668,262
1779961558.136298,679,256
1779961558.153451,662,261
1779961558.16846,679,271
1779961558.185747,644,253
1779961558.200329,673,266
1779961558.218048,661,263
1779961558.233649,613,255
1779961558.25061,627,264
1779961558.266468,633,266
1779961558.283053,613,246
1779961558.298923,584,226
1779961558.31699,622,233
1779961558.332255,605,236
1779961558.348914,618,240
1779961558.365209,613,238
1779961558.383542,625,243
1779961558.39941,642,245
1779961558.415773,626,256
1779961558.430571,654,259
1779961558.448386,670,287
1779961558.463841,690,300
1779961558.48246,684,293
1779961558.497601,707,303
1779961558.514386,684,318
1779961558.529573,699,311
1779961558.5477,684,311
1779961558.562485,713,303
1779961558.581372,707,291
1779961558.596505,740,294
1779961558.614389,747,271
1779961558.629007,687,282
1779961558.648257,711,311
1779961558.664028,700,307
1779961558.683212,730,306
1779961558.698598,744,304
1779961558.71619,734,309
1779961558.731185,716,317
1779961558.748747,739,319
1779961558.765937,740,328
1779961558.781949,719,334
1779961558.798395,737,331
1779961558.814074,740,337
1779961558.831987,747,332
1779961558.848301,748,343
1779961558.862818,738,355
1779961558.886493,723,362
1779961558.901431,724,372
1779961558.917612,749,401
1779961558.932921,718,394
1779961558.949908,729,393
1779961558.965429,721,393
1779961558.982128,746,398
1779961558.998886,770,397
1779961559.017369,773,387
1779961559.034456,787,395
1779961559.05113,762,397
1779961559.065572,773,396
1779961559.082542,788,399
1779961559.098907,791,411
1779961559.117017,773,406
1779961559.131742,796,397
1779961559.148919,813,400
1779961559.165923,813,402
1779961559.18323,830,419
1779961559.198764,856,428
1779961559.215506,854,446
1779961559.234191,851,424
1779961559.249858,853,415
1779961559.269008,867,445
1779961559.283013,846,461
1779961559.300168,842,441
1779961559.317758,862,446
1779961559.333457,851,437
1779961559.351751,849,461
1779961559.366684,844,458
1779961559.385176,823,440
1779961559.400419,853,433
1779961559.4179,830,464
1779961559.433111,842,488
1779961559.452339,876,497
1779961559.467286,878,481
1779961559.483708,882,462
1779961559.50215,903,487
1779961559.519541,863,500
1779961559.538705,855,504
1779961559.552746,853,495
1779961559.568765,869,503
1779961559.58656,830,509
1779961559.603522,842,522
1779961559.617971,828,516
1779961559.635385,839,510
1779961559.649847,830,512
1779961559.669804,817,486
1779961559.683116,814,471
1779961559.69912,796,480
1779961559.717064,825,484
1779961559.731902,809,473
1779961559.749031,842,482
1779961559.765702,845,485
1779961559.782851,858,495
1779961559.797081,872,507
1779961559.81368,850,498
1779961559.831072,846,495
1779961559.848641,851,491
1779961559.863529,881,497
1779961559.88342,871,506
1779961559.897331,875,500
1779961559.915634,889,522
1779961559.931267,889,531
1779961559.948636,899,532
1779961559.964,892,535
1779961559.9822,899,553
1779961559.997719,900,565
1779961560.018957,889,555
1779961560.03538,861,542
1779961560.049259,854,557
1779961560.067761,849,557
1779961560.082594,874,567
1779961560.100827,861,549
1779961560.116186,837,546
1779961560.133645,847,550
1779961560.150775,869,555
1779961560.165285,876,562
1779961560.181869,854,550
1779961560.198643,870,550
1779961560.215611,895,546
1779961560.231503,859,530
1779961560.249723,879,533
1779961560.26334,898,543
1779961560.282958,889,532
1779961560.297783,899,538
1779961560.317663,910,544
1779961560.332871,907,547
1779961560.349535,932,555
1779961560.366437,948,551
1779961560.382966,928,527
1779961560.398633,929,527
1779961560.415656,911,526
1779961560.434131,926,531
1779961560.449827,917,527
1779961560.466443,917,520
1779961560.481094,903,516
1779961560.500012,922,524
1779961560.514257,904,529
1779961560.534024,929,514
1779961560.547183,893,499
1779961560.564684,929,530
1779961560.582168,913,539
1779961560.596117,908,536
1779961560.61302,911,545
1779961560.631186,902,550
1779961560.647701,930,555
1779961560.662983,952,550
1779961560.681446,928,525
1779961560.697088,954,529
1779961560.71456,953,542
1779961560.729877,943,549
1779961560.749885,968,551
1779961560.765449,980,552
1779961560.783302,944,550
1779961560.80427,954,551
1779961560.820616,922,552
1779961560.836358,925,557
1779961560.850595,937,565
1779961560.867577,901,561
1779961560.881347,879,570
1779961560.901606,865,569
1779961560.916168,857,548
1779961560.933121,848,575
1779961560.949818,813,600
1779961560.966045,763,584
1779961560.986444,787,582
1779961561.000186,803,585
1779961561.019351,781,589
1779961561.034135,772,584
1779961561.053447,777,592
1779961561.067692,760,587
1779961561.086462,754,599
1779961561.100675,762,601
1779961561.124162,747,594
1779961561.142173,752,589
1779961561.15864,751,589
1779961561.175466,771,604
1779961561.189904,772,600
1779961561.208081,769,626
1779961561.223579,750,631
1779961561.241387,780,624
1779961561.256176,750,614
1779961561.274154,765,596
1779961561.292277,751,585
1779961561.311791,772,607
1779961561.326698,775,609
1779961561.341605,750,611
1779961561.358949,764,606
1779961561.375308,747,611
1779961561.392115,765,594
1779961561.410891,750,588
1779961561.42528,749,588
1779961561.440412,752,568
1779961561.457599,746,553
1779961561.475258,744,550
1779961561.49271,738,555
1779961561.509808,729,551
